Model,Production Year,Number of Engines,Engine Type,Capacity,Range (km),Fuel Consumption (L/hour),Hourly Maintenance Cost ($),Age,Sales Region,Price ($)
Cessna 172,1994,1,Piston,4,1285,43.11,3354.98,29,Asya,254464.74
Bombardier CRJ200,2004,2,Turbofan,50,3000,10.5,4176.36,19,Asya,13812888.7
Bombardier CRJ200,1990,2,Turbofan,50,3000,5.92,1421.7,33,Asya,9657940.0
Bombardier CRJ200,2016,2,Turbofan,50,3000,6.56,508.43,7,Asya,20412166.85
Airbus A350,1991,2,Turbofan,350,14800,4.45,2280.51,32,Asya,439763710.5
Airbus A350,1995,2,Turbofan,350,14800,8.12,1837.85,28,Asya,369959616.57
Bombardier CRJ200,2022,2,Turbofan,50,3000,4.42,2053.42,1,Asya,24088055.79
Airbus A350,2003,2,Turbofan,350,14800,12.92,3326.38,20,Asya,447379400.18
Boeing 737,1987,2,Turbofan,162,5700,4.21,3538.15,36,Asya,63375430.88
Cessna 172,1988,1,Piston,4,1285,37.75,1566.18,35,Asya,217918.02
Cessna 172,1991,1,Piston,4,1285,48.35,3115.33,32,Asya,203079.78
Boeing 777,1982,2,Turbofan,396,15600,14.44,3008.83,41,Asya,421919568.19
Airbus A350,2022,2,Turbofan,350,14800,2.02,2971.74,1,Asya,650352398.35
Airbus A320,1999,2,Turbofan,180,6300,11.45,4870.48,24,Asya,75919032.92
Boeing 737,1995,2,Turbofan,162,5700,8.24,1389.42,28,Asya,64509929.91
Boeing 737,2014,2,Turbofan,162,5700,7.61,3799.42,9,Asya,84839937.24
Boeing 777,1980,2,Turbofan,396,15600,2.09,706.33,43,Asya,508958011.43
Cessna 172,1997,1,Piston,4,1285,45.53,1522.07,26,Asya,241084.74
Airbus A350,2000,2,Turbofan,350,14800,10.92,913.72,23,Asya,400977164.75
Bombardier CRJ200,1985,2,Turbofan,50,3000,13.24,2430.36,38,Asya,11123825.16
Bombardier CRJ200,1995,2,Turbofan,50,3000,14.89,4014.2,28,Asya,12348247.91
Airbus A320,2016,2,Turbofan,180,6300,10.88,2890.39,7,Asya,129890069.83
Cessna 172,2002,1,Piston,4,1285,20.07,2572.99,21,Asya,277924.14
Airbus A320,2003,2,Turbofan,180,6300,13.36,2610.56,20,Asya,100471600.56
Boeing 777,1993,2,Turbofan,396,15600,7.2,4113.18,30,Asya,420964803.57
Bombardier CRJ200,2012,2,Turbofan,50,3000,7.58,2320.95,11,Asya,22822931.91
Boeing 737,2002,2,Turbofan,162,5700,12.15,2920.27,21,Asya,79126445.46
Boeing 777,2002,2,Turbofan,396,15600,3.73,1191.85,21,Asya,464481451.75
Airbus A350,1992,2,Turbofan,350,14800,14.21,734.83,31,Asya,384852854.33
Cessna 172,1997,1,Piston,4,1285,11.34,580.03,26,Asya,173213.94
Bombardier CRJ200,2007,2,Turbofan,50,3000,14.98,4517.57,16,Asya,16416283.75
Boeing 777,1992,2,Turbofan,396,15600,3.56,1316.69,31,Asya,413805915.74
Airbus A320,1998,2,Turbofan,180,6300,13.02,3476.48,25,Asya,71282568.4
Bombardier CRJ200,2001,2,Turbofan,50,3000,8.18,2807.31,22,Asya,14785647.68
Boeing 737,1986,2,Turbofan,162,5700,13.39,2620.57,37,Asya,69276237.87
Airbus A320,1997,2,Turbofan,180,6300,3.68,1519.09,26,Asya,80045028.13
Airbus A350,2021,2,Turbofan,350,14800,5.6,854.52,2,Asya,764370595.17
Boeing 737,1980,2,Turbofan,162,5700,8.37,4057.66,43,Asya,64587391.91
Airbus A350,1985,2,Turbofan,350,14800,3.65,4091.82,38,Asya,391847653.31
Cessna 172,1987,1,Piston,4,1285,10.37,4125.94,36,Asya,205700.63
Airbus A320,2008,2,Turbofan,180,6300,8.35,1665.49,15,Asya,115724719.0
Bombardier CRJ200,1989,2,Turbofan,50,3000,8.09,656.34,34,Asya,12053351.98
Cessna 172,2012,1,Piston,4,1285,15.86,2890.15,11,Asya,395074.45
Boeing 737,2016,2,Turbofan,162,5700,7.31,2859.29,7,Asya,96959236.05
Cessna 172,2012,1,Piston,4,1285,28.4,3281.19,11,Asya,359819.51
Airbus A320,1991,2,Turbofan,180,6300,8.06,2685.24,32,Asya,79406962.8
Boeing 777,2000,2,Turbofan,396,15600,2.47,675.2,23,Asya,443353156.72
Boeing 737,2020,2,Turbofan,162,5700,13.2,2432.04,3,Asya,113737318.86
Airbus A320,2010,2,Turbofan,180,6300,6.93,4819.71,13,Asya,104551238.1
Cessna 172,1992,1,Piston,4,1285,33.86,2247.65,31,Asya,221974.81
Boeing 737,2018,2,Turbofan,162,5700,4.82,2078.16,5,Asya,123540749.53
Airbus A350,2004,2,Turbofan,350,14800,6.53,3134.81,19,Asya,520352419.27
Bombardier CRJ200,2018,2,Turbofan,50,3000,3.99,616.92,5,Asya,20310645.63
Boeing 737,1981,2,Turbofan,162,5700,4.34,2955.08,42,Asya,67372520.61
Boeing 737,2003,2,Turbofan,162,5700,5.24,3032.47,20,Asya,83585129.14
Bombardier CRJ200,1984,2,Turbofan,50,3000,8.07,2450.94,39,Asya,10820961.92
Airbus A350,2010,2,Turbofan,350,14800,8.1,2918.11,13,Asya,497449997.91
Boeing 737,1993,2,Turbofan,162,5700,9.35,3757.98,30,Asya,59718272.91
Airbus A320,1987,2,Turbofan,180,6300,10.36,4159.68,36,Asya,82886321.95
Airbus A320,1994,2,Turbofan,180,6300,14.82,3656.74,29,Asya,65340560.13
Bombardier CRJ200,1988,2,Turbofan,50,3000,8.74,2486.78,35,Asya,15353141.45
Airbus A350,2003,2,Turbofan,350,14800,13.63,1422.12,20,Asya,420457303.97
Cessna 172,1990,1,Piston,4,1285,45.54,4127.94,33,Asya,209089.07
Boeing 737,1995,2,Turbofan,162,5700,11.79,681.1,28,Asya,71692339.47
Boeing 737,1989,2,Turbofan,162,5700,8.36,1341.76,34,Asya,59819020.62
Boeing 737,1986,2,Turbofan,162,5700,7.95,2176.1,37,Asya,63683708.58
Airbus A320,2014,2,Turbofan,180,6300,7.93,1080.93,9,Asya,117602367.97
Boeing 737,1999,2,Turbofan,162,5700,9.62,4710.45,24,Asya,60739508.14
Bombardier CRJ200,2023,2,Turbofan,50,3000,10.2,893.45,0,Asya,32307310.3
Boeing 737,2020,2,Turbofan,162,5700,10.17,3258.73,3,Asya,125728856.3
Boeing 777,2015,2,Turbofan,396,15600,3.49,1377.64,8,Asya,724775918.85
Bombardier CRJ200,1988,2,Turbofan,50,3000,7.27,830.23,35,Asya,11303425.55
Cessna 172,2011,1,Piston,4,1285,39.85,4415.22,12,Asya,289736.23
Boeing 777,2023,2,Turbofan,396,15600,11.84,4703.7,0,Asya,776724306.73
Cessna 172,2021,1,Piston,4,1285,16.8,2273.77,2,Asya,396273.49
Airbus A350,2022,2,Turbofan,350,14800,8.34,769.91,1,Asya,731070729.4
Airbus A320,2010,2,Turbofan,180,6300,8.93,2743.56,13,Asya,98462054.45
Boeing 777,2009,2,Turbofan,396,15600,2.54,3467.71,14,Asya,558619743.35
Boeing 777,2016,2,Turbofan,396,15600,14.24,1327.31,7,Asya,781210735.12
Cessna 172,2004,1,Piston,4,1285,44.09,2895.58,19,Asya,231104.55
Airbus A320,1983,2,Turbofan,180,6300,13.09,3955.72,40,Asya,82998254.44
Cessna 172,2004,1,Piston,4,1285,45.55,2161.99,19,Asya,299871.52
Bombardier CRJ200,2000,2,Turbofan,50,3000,4.4,3211.85,23,Asya,12219114.35
Airbus A350,2000,2,Turbofan,350,14800,11.99,2895.06,23,Asya,427270663.5
Bombardier CRJ200,2017,2,Turbofan,50,3000,11.07,2170.0,6,Asya,23914999.31
Boeing 777,2012,2,Turbofan,396,15600,11.95,1335.09,11,Asya,681860407.6
Boeing 777,2019,2,Turbofan,396,15600,5.99,2977.22,4,Asya,722733699.69
Boeing 737,1986,2,Turbofan,162,5700,3.75,2901.21,37,Asya,60005774.42
Cessna 172,2017,1,Piston,4,1285,10.74,2936.46,6,Asya,341614.93
Cessna 172,2004,1,Piston,4,1285,27.1,4126.58,19,Asya,260578.04
Airbus A320,2010,2,Turbofan,180,6300,9.16,2557.85,13,Asya,104710774.98
Bombardier CRJ200,2005,2,Turbofan,50,3000,8.98,2870.61,18,Asya,14486865.75
Bombardier CRJ200,1995,2,Turbofan,50,3000,6.59,4668.02,28,Asya,11770977.25
Airbus A350,1982,2,Turbofan,350,14800,14.76,2564.28,41,Asya,428518568.96
Bombardier CRJ200,2005,2,Turbofan,50,3000,14.04,892.97,18,Asya,12173103.75
Airbus A320,2012,2,Turbofan,180,6300,14.62,3523.95,11,Asya,121049909.73
Boeing 737,1985,2,Turbofan,162,5700,2.02,2008.62,38,Asya,56452848.3
Cessna 172,1989,1,Piston,4,1285,37.7,2784.58,34,Asya,238980.15
Cessna 172,2014,1,Piston,4,1285,30.76,2534.04,9,Asya,368238.31
Cessna 172,2004,1,Piston,4,1285,27.11,4146.81,19,Asya,249839.32
Boeing 737,1997,2,Turbofan,162,5700,10.88,2768.17,26,Asya,62833958.81
Airbus A320,2020,2,Turbofan,180,6300,12.95,3145.7,3,Asya,155944207.42
Bombardier CRJ200,2017,2,Turbofan,50,3000,10.97,1054.56,6,Asya,17700084.66
Boeing 737,2011,2,Turbofan,162,5700,8.07,3106.5,12,Asya,101590605.58
Cessna 172,2014,1,Piston,4,1285,30.52,3812.24,9,Asya,393768.51
Boeing 737,1993,2,Turbofan,162,5700,11.89,2150.91,30,Asya,66423871.29
Boeing 777,1995,2,Turbofan,396,15600,11.19,2801.84,28,Asya,421362976.21
Cessna 172,1993,1,Piston,4,1285,29.83,2097.93,30,Asya,189573.14
Cessna 172,2022,1,Piston,4,1285,36.83,1130.18,1,Asya,410729.18
Airbus A320,2005,2,Turbofan,180,6300,2.35,3512.74,18,Asya,82171422.55
Cessna 172,2013,1,Piston,4,1285,12.31,2596.42,10,Asya,350596.24
Boeing 777,2021,2,Turbofan,396,15600,13.48,4397.85,2,Asya,662993106.49
Boeing 737,2010,2,Turbofan,162,5700,7.45,814.75,13,Asya,83553849.2
Airbus A350,2019,2,Turbofan,350,14800,9.76,757.31,4,Asya,651023246.76
Boeing 737,1987,2,Turbofan,162,5700,6.33,1659.1,36,Asya,54252271.46
Cessna 172,2009,1,Piston,4,1285,14.34,1261.61,14,Asya,319935.45
Airbus A350,2022,2,Turbofan,350,14800,3.03,2856.64,1,Asya,735423975.69
Boeing 737,1993,2,Turbofan,162,5700,8.96,4586.69,30,Asya,79616917.07
Cessna 172,2021,1,Piston,4,1285,35.67,4100.71,2,Asya,431996.93
Airbus A320,2009,2,Turbofan,180,6300,12.82,3510.28,14,Asya,100115930.1
Boeing 777,1996,2,Turbofan,396,15600,10.46,2331.88,27,Asya,304703157.76
Cessna 172,2001,1,Piston,4,1285,37.66,3639.36,22,Asya,228265.87
Cessna 172,2007,1,Piston,4,1285,33.44,3907.88,16,Asya,311117.47
Boeing 737,1983,2,Turbofan,162,5700,8.35,4893.04,40,Asya,66346354.32
Boeing 737,2014,2,Turbofan,162,5700,12.85,2863.29,9,Asya,111630092.36
Bombardier CRJ200,1980,2,Turbofan,50,3000,6.15,2292.7,43,Asya,12270884.53
Boeing 777,2023,2,Turbofan,396,15600,10.53,682.34,0,Asya,955609820.43
Airbus A350,1989,2,Turbofan,350,14800,6.19,4500.0,34,Asya,391028188.1
Airbus A350,1987,2,Turbofan,350,14800,3.99,3302.73,36,Asya,358056807.3
Cessna 172,2020,1,Piston,4,1285,33.89,2814.22,3,Asya,404985.54
Airbus A350,2020,2,Turbofan,350,14800,12.63,1263.01,3,Asya,834502093.05
Boeing 777,1992,2,Turbofan,396,15600,11.39,3263.29,31,Asya,416724618.91
Boeing 777,2019,2,Turbofan,396,15600,4.48,2743.64,4,Asya,651994351.03
Boeing 777,1998,2,Turbofan,396,15600,2.34,2334.19,25,Asya,380351613.96
Boeing 737,2009,2,Turbofan,162,5700,6.87,756.27,14,Asya,112415170.05
Boeing 777,2022,2,Turbofan,396,15600,8.69,2873.46,1,Asya,798779896.96
Boeing 737,2015,2,Turbofan,162,5700,6.02,4422.37,8,Asya,126086649.58
Cessna 172,1998,1,Piston,4,1285,37.12,4899.27,25,Asya,161769.34
Cessna 172,2009,1,Piston,4,1285,27.17,2572.29,14,Asya,298355.86
Boeing 777,1983,2,Turbofan,396,15600,14.78,2278.82,40,Asya,431376615.0
Cessna 172,1992,1,Piston,4,1285,10.38,4190.13,31,Asya,226175.39
Boeing 737,2010,2,Turbofan,162,5700,3.08,2887.08,13,Asya,84971084.66
Bombardier CRJ200,2019,2,Turbofan,50,3000,14.26,851.47,4,Asya,27110944.1
Boeing 777,2022,2,Turbofan,396,15600,11.76,1656.87,1,Asya,714085987.7
Cessna 172,2005,1,Piston,4,1285,20.93,876.49,18,Asya,311182.94
Airbus A320,1994,2,Turbofan,180,6300,5.89,3788.43,29,Asya,77309265.5
Airbus A320,1995,2,Turbofan,180,6300,13.59,4736.42,28,Asya,83850775.08
Boeing 777,1987,2,Turbofan,396,15600,7.77,1174.17,36,Asya,427234623.12
Cessna 172,1992,1,Piston,4,1285,17.22,1913.41,31,Asya,202485.08
Boeing 737,1988,2,Turbofan,162,5700,8.5,668.08,35,Asya,65173673.25
Cessna 172,1988,1,Piston,4,1285,41.15,4199.82,35,Asya,204411.05
Boeing 777,1986,2,Turbofan,396,15600,2.33,4497.64,37,Asya,380991130.22
Airbus A350,1994,2,Turbofan,350,14800,4.24,2169.16,29,Asya,369210980.72
Airbus A350,2019,2,Turbofan,350,14800,12.29,2999.78,4,Asya,689170189.68
Boeing 777,2022,2,Turbofan,396,15600,10.37,4515.92,1,Asya,619428392.8
Airbus A320,2011,2,Turbofan,180,6300,6.16,4910.0,12,Asya,122801675.0
Boeing 737,2002,2,Turbofan,162,5700,9.43,4841.7,21,Asya,85076242.71
Bombardier CRJ200,1982,2,Turbofan,50,3000,4.89,4885.4,41,Asya,12040599.38
Airbus A320,1981,2,Turbofan,180,6300,12.3,4942.92,42,Asya,67127321.25
Airbus A320,1983,2,Turbofan,180,6300,5.66,1046.49,40,Asya,79432407.22
Airbus A320,1998,2,Turbofan,180,6300,2.82,918.05,25,Asya,82296403.96
Airbus A350,2022,2,Turbofan,350,14800,5.22,3005.13,1,Asya,776998760.99
Bombardier CRJ200,1984,2,Turbofan,50,3000,13.32,3073.92,39,Asya,12670946.28
Airbus A350,1987,2,Turbofan,350,14800,2.74,4584.09,36,Asya,368087659.64
Boeing 777,1985,2,Turbofan,396,15600,14.54,4523.48,38,Asya,389117899.75
Airbus A350,2008,2,Turbofan,350,14800,9.25,4891.24,15,Asya,429619643.4
Airbus A350,1983,2,Turbofan,350,14800,4.05,3037.18,40,Asya,453914808.44
Cessna 172,2005,1,Piston,4,1285,23.52,3601.78,18,Asya,282258.92
Bombardier CRJ200,2018,2,Turbofan,50,3000,11.32,1089.75,5,Asya,20933406.1
Boeing 737,2008,2,Turbofan,162,5700,14.12,989.63,15,Asya,103792864.5
Airbus A320,2006,2,Turbofan,180,6300,10.74,2255.51,17,Asya,120058735.56
Cessna 172,2021,1,Piston,4,1285,33.21,4801.15,2,Asya,364009.68
Bombardier CRJ200,1994,2,Turbofan,50,3000,8.03,4136.5,29,Asya,11264512.63
Airbus A320,2002,2,Turbofan,180,6300,10.53,2761.92,21,Asya,89245503.72
Boeing 737,2012,2,Turbofan,162,5700,9.68,3355.16,11,Asya,87908645.06
Boeing 777,2019,2,Turbofan,396,15600,14.06,3859.07,4,Asya,648845598.17
Airbus A320,2003,2,Turbofan,180,6300,14.61,3410.87,20,Asya,82060615.78
Airbus A350,2017,2,Turbofan,350,14800,14.47,542.78,6,Asya,679451337.27
Bombardier CRJ200,1985,2,Turbofan,50,3000,12.97,2071.97,38,Asya,10468241.23
Airbus A350,2003,2,Turbofan,350,14800,14.36,704.77,20,Asya,445070363.19
Boeing 777,2000,2,Turbofan,396,15600,10.88,2846.28,23,Asya,457464579.89
Airbus A320,2009,2,Turbofan,180,6300,11.15,3630.13,14,Asya,102255793.0
Boeing 737,2007,2,Turbofan,162,5700,4.05,4310.15,16,Asya,96199877.45
Bombardier CRJ200,1990,2,Turbofan,50,3000,10.76,1606.12,33,Asya,13029753.6
Boeing 737,1989,2,Turbofan,162,5700,11.28,1859.22,34,Asya,61284847.41
Cessna 172,1997,1,Piston,4,1285,31.88,4426.55,26,Asya,230909.49
Airbus A320,1989,2,Turbofan,180,6300,10.6,2342.04,34,Asya,67851641.07
Cessna 172,2000,1,Piston,4,1285,30.67,3431.64,23,Asya,267259.06
Cessna 172,1990,1,Piston,4,1285,39.78,4531.4,33,Asya,201973.36
Cessna 172,1992,1,Piston,4,1285,30.2,716.68,31,Asya,223535.89
Bombardier CRJ200,2022,2,Turbofan,50,3000,14.52,3577.91,1,Asya,22059485.44
Boeing 737,2000,2,Turbofan,162,5700,13.74,2404.03,23,Asya,70781938.52
Bombardier CRJ200,1993,2,Turbofan,50,3000,10.36,4410.71,30,Asya,12595118.47
Bombardier CRJ200,1991,2,Turbofan,50,3000,6.04,3143.23,32,Asya,10547256.47
Airbus A350,1998,2,Turbofan,350,14800,2.72,4331.98,25,Asya,381036912.46
Boeing 777,2022,2,Turbofan,396,15600,14.05,4800.45,1,Asya,711836228.47
Airbus A320,2020,2,Turbofan,180,6300,4.8,4116.05,3,Asya,127994103.19
Bombardier CRJ200,1995,2,Turbofan,50,3000,12.29,4226.49,28,Asya,12531708.24
Boeing 777,1999,2,Turbofan,396,15600,2.16,3132.1,24,Asya,445233142.68
Bombardier CRJ200,1997,2,Turbofan,50,3000,9.15,980.22,26,Asya,11593567.6
Bombardier CRJ200,2006,2,Turbofan,50,3000,3.71,3750.42,17,Asya,18660662.17
Airbus A350,1992,2,Turbofan,350,14800,6.06,2507.26,31,Asya,403064357.55
Airbus A320,2016,2,Turbofan,180,6300,8.8,3251.09,7,Asya,124603045.37
Cessna 172,1995,1,Piston,4,1285,36.58,4787.45,28,Asya,213382.44
Cessna 172,1994,1,Piston,4,1285,39.08,3804.46,29,Asya,223661.31
Cessna 172,1985,1,Piston,4,1285,18.08,1232.37,38,Asya,222519.6
Airbus A320,2008,2,Turbofan,180,6300,8.15,3847.5,15,Asya,111944863.93
Boeing 737,1998,2,Turbofan,162,5700,13.06,4793.62,25,Asya,56786633.11
Cessna 172,2010,1,Piston,4,1285,21.91,1784.56,13,Asya,345025.77
Airbus A320,2010,2,Turbofan,180,6300,12.43,4341.93,13,Asya,128042810.7
Boeing 777,1986,2,Turbofan,396,15600,8.8,2793.96,37,Asya,411079812.69
Boeing 777,2020,2,Turbofan,396,15600,2.4,1417.07,3,Asya,758754589.26
Boeing 777,2016,2,Turbofan,396,15600,10.36,2559.71,7,Asya,782319318.98
Boeing 737,2000,2,Turbofan,162,5700,10.2,3856.8,23,Asya,72223654.96
Boeing 777,2012,2,Turbofan,396,15600,4.77,1500.43,11,Asya,597118764.91
Cessna 172,1997,1,Piston,4,1285,49.67,2341.35,26,Asya,226514.48
Airbus A350,2005,2,Turbofan,350,14800,7.26,1168.81,18,Asya,480339655.32
Bombardier CRJ200,2014,2,Turbofan,50,3000,3.04,3299.27,9,Asya,17979969.04
Boeing 737,2003,2,Turbofan,162,5700,13.21,1096.25,20,Asya,87698459.77
Boeing 737,2006,2,Turbofan,162,5700,3.77,4872.43,17,Asya,95215642.11
Boeing 777,2013,2,Turbofan,396,15600,12.17,3045.35,10,Asya,674207666.45
Bombardier CRJ200,2022,2,Turbofan,50,3000,7.03,3882.29,1,Asya,24713796.51
Airbus A320,1997,2,Turbofan,180,6300,13.13,2715.9,26,Asya,60899369.23
Airbus A320,2008,2,Turbofan,180,6300,7.31,1614.81,15,Asya,113827328.31
Cessna 172,2002,1,Piston,4,1285,31.88,3734.13,21,Asya,281184.66
Airbus A350,1985,2,Turbofan,350,14800,11.79,3207.03,38,Asya,379777528.49
Cessna 172,2020,1,Piston,4,1285,33.82,3128.17,3,Asya,403077.84
Airbus A350,1996,2,Turbofan,350,14800,11.37,4014.69,27,Asya,336508498.17
Bombardier CRJ200,1990,2,Turbofan,50,3000,4.49,4631.34,33,Asya,10654136.94
Airbus A350,1996,2,Turbofan,350,14800,14.76,2336.06,27,Asya,386330067.2
Airbus A350,1999,2,Turbofan,350,14800,7.09,4759.84,24,Asya,380901050.64
Airbus A320,2012,2,Turbofan,180,6300,4.99,1155.84,11,Asya,114495308.15
Bombardier CRJ200,2001,2,Turbofan,50,3000,13.6,3160.2,22,Asya,12440429.59
Airbus A320,2009,2,Turbofan,180,6300,9.86,2659.67,14,Asya,93253667.52
Airbus A320,2007,2,Turbofan,180,6300,13.08,1277.4,16,Asya,107161726.39
Bombardier CRJ200,1995,2,Turbofan,50,3000,13.78,2606.8,28,Asya,14049096.89
Cessna 172,2005,1,Piston,4,1285,45.95,3476.65,18,Asya,291770.25
Airbus A350,1992,2,Turbofan,350,14800,3.42,3115.77,31,Asya,426643471.43
Bombardier CRJ200,2013,2,Turbofan,50,3000,3.51,1321.88,10,Asya,20216957.55
Airbus A350,2007,2,Turbofan,350,14800,14.87,4879.88,16,Asya,479863030.4
Airbus A350,1998,2,Turbofan,350,14800,3.65,3425.8,25,Asya,494649415.3
Boeing 777,2006,2,Turbofan,396,15600,13.09,1205.46,17,Asya,529065138.3
Boeing 737,2014,2,Turbofan,162,5700,14.64,2378.04,9,Asya,98145583.85
Cessna 172,2020,1,Piston,4,1285,33.96,2660.78,3,Asya,434273.4
Cessna 172,2022,1,Piston,4,1285,32.69,850.92,1,Asya,386373.29
Boeing 777,1994,2,Turbofan,396,15600,11.19,1437.34,29,Asya,358233846.87
Cessna 172,2002,1,Piston,4,1285,49.69,3858.89,21,Asya,229617.38
Airbus A350,2018,2,Turbofan,350,14800,8.94,1351.73,5,Asya,689418337.26
Airbus A350,1998,2,Turbofan,350,14800,13.1,2279.83,25,Asya,376413278.05
Cessna 172,2006,1,Piston,4,1285,47.53,1954.61,17,Asya,295332.5
Airbus A350,2023,2,Turbofan,350,14800,7.22,4290.94,0,Asya,660480786.17
Airbus A320,1998,2,Turbofan,180,6300,2.43,3688.72,25,Asya,77161298.16
Cessna 172,2021,1,Piston,4,1285,38.67,2623.59,2,Asya,395096.7
Boeing 777,2014,2,Turbofan,396,15600,12.03,2538.61,9,Asya,674187469.75
Boeing 777,2017,2,Turbofan,396,15600,11.21,4204.44,6,Asya,673158444.07
Airbus A320,1996,2,Turbofan,180,6300,10.68,1412.02,27,Asya,82368343.41
Boeing 777,2018,2,Turbofan,396,15600,6.59,1075.13,5,Asya,836303758.54
Cessna 172,1985,1,Piston,4,1285,41.45,2976.51,38,Asya,195571.69
Cessna 172,1997,1,Piston,4,1285,33.6,1366.41,26,Asya,228820.5
Boeing 737,2014,2,Turbofan,162,5700,4.75,1039.49,9,Asya,94683999.73
Boeing 777,2020,2,Turbofan,396,15600,2.87,1274.85,3,Asya,715473354.09
Airbus A320,2010,2,Turbofan,180,6300,3.29,4239.74,13,Asya,139203048.13
Cessna 172,2009,1,Piston,4,1285,38.78,693.11,14,Asya,278657.13
Airbus A320,1991,2,Turbofan,180,6300,12.36,4705.72,32,Asya,77071700.15
Airbus A320,1992,2,Turbofan,180,6300,4.23,3191.08,31,Asya,69880966.86
Cessna 172,2010,1,Piston,4,1285,48.4,2247.84,13,Asya,293821.54
Airbus A350,1983,2,Turbofan,350,14800,12.11,2537.38,40,Asya,312228285.88
Airbus A350,1998,2,Turbofan,350,14800,7.85,1365.04,25,Asya,379923666.41
Airbus A320,2015,2,Turbofan,180,6300,12.54,2183.0,8,Asya,135802555.11
Boeing 737,2013,2,Turbofan,162,5700,7.34,897.05,10,Asya,124201810.46
Cessna 172,2003,1,Piston,4,1285,28.48,2956.0,20,Asya,245166.4
Cessna 172,2007,1,Piston,4,1285,25.81,3727.85,16,Asya,323621.92
Boeing 777,2020,2,Turbofan,396,15600,13.73,1910.35,3,Asya,697738326.92
Boeing 737,2015,2,Turbofan,162,5700,4.87,699.5,8,Asya,85462985.28
Bombardier CRJ200,2007,2,Turbofan,50,3000,6.86,1025.66,16,Asya,17781372.46
Boeing 777,1991,2,Turbofan,396,15600,9.11,2003.36,32,Asya,435990797.03
Boeing 737,2004,2,Turbofan,162,5700,5.95,4617.7,19,Asya,85584980.96
Airbus A350,2017,2,Turbofan,350,14800,6.96,2696.38,6,Asya,652794009.73
Cessna 172,2013,1,Piston,4,1285,37.67,1138.32,10,Asya,300317.63
Airbus A320,1993,2,Turbofan,180,6300,12.1,4804.29,30,Asya,71824308.81
Airbus A320,1993,2,Turbofan,180,6300,14.26,1362.18,30,Asya,83822057.69
Boeing 777,2012,2,Turbofan,396,15600,14.97,3250.43,11,Asya,692352294.68
Airbus A350,1981,2,Turbofan,350,14800,8.58,1473.44,42,Asya,366837665.18
Bombardier CRJ200,2000,2,Turbofan,50,3000,13.01,2118.94,23,Asya,11911640.65
Bombardier CRJ200,2010,2,Turbofan,50,3000,12.54,4853.24,13,Asya,19456073.0
Boeing 777,1981,2,Turbofan,396,15600,3.74,1827.17,42,Asya,369325050.91
Airbus A320,1986,2,Turbofan,180,6300,12.2,3176.74,37,Asya,82137072.15
Boeing 777,1994,2,Turbofan,396,15600,9.43,3870.97,29,Asya,441363176.19
Airbus A350,1984,2,Turbofan,350,14800,12.13,1430.58,39,Asya,340985788.82
Cessna 172,2020,1,Piston,4,1285,36.03,4488.18,3,Asya,400529.53
Airbus A350,2020,2,Turbofan,350,14800,14.69,1222.76,3,Asya,651634456.51
Airbus A320,1991,2,Turbofan,180,6300,9.53,1736.35,32,Asya,64285691.71
Airbus A320,2020,2,Turbofan,180,6300,3.95,763.83,3,Asya,136265705.44
Cessna 172,2008,1,Piston,4,1285,39.37,2075.73,15,Asya,322904.26
Airbus A350,1987,2,Turbofan,350,14800,12.57,2095.2,36,Asya,444610912.01
Airbus A350,2015,2,Turbofan,350,14800,6.6,1627.26,8,Asya,622909641.8
Bombardier CRJ200,1994,2,Turbofan,50,3000,11.89,1484.91,29,Asya,12070275.65
Cessna 172,2013,1,Piston,4,1285,47.69,2347.72,10,Asya,351744.57
Boeing 777,1990,2,Turbofan,396,15600,13.72,1665.48,33,Asya,423236568.1
Boeing 777,1980,2,Turbofan,396,15600,12.69,4394.19,43,Asya,385497419.06
Cessna 172,2018,1,Piston,4,1285,10.6,2253.18,5,Asya,378746.98
Airbus A320,2013,2,Turbofan,180,6300,4.45,718.37,10,Asya,113343010.31
Boeing 737,2020,2,Turbofan,162,5700,13.09,946.67,3,Asya,138227303.92
Boeing 777,1985,2,Turbofan,396,15600,4.89,1120.78,38,Asya,334199410.13
Boeing 737,2018,2,Turbofan,162,5700,12.96,3004.73,5,Asya,118162013.66
Cessna 172,2021,1,Piston,4,1285,27.81,4681.62,2,Asya,458773.0
Cessna 172,1986,1,Piston,4,1285,21.85,4924.76,37,Asya,228315.61
Cessna 172,2013,1,Piston,4,1285,20.76,996.1,10,Asya,348493.72
Airbus A350,2022,2,Turbofan,350,14800,5.03,1080.83,1,Asya,683930526.25
Airbus A320,2011,2,Turbofan,180,6300,6.38,599.99,12,Asya,121025846.88
Airbus A320,2000,2,Turbofan,180,6300,9.33,1993.93,23,Asya,80435056.58
Boeing 737,1992,2,Turbofan,162,5700,7.29,4103.99,31,Asya,66674826.01
Airbus A320,1989,2,Turbofan,180,6300,14.96,3838.42,34,Asya,82220979.81
Boeing 777,1995,2,Turbofan,396,15600,3.96,4781.32,28,Asya,415581771.19
Cessna 172,1988,1,Piston,4,1285,48.84,3597.59,35,Asya,217847.66
Cessna 172,2007,1,Piston,4,1285,44.09,761.69,16,Asya,283048.26
Bombardier CRJ200,1989,2,Turbofan,50,3000,8.95,3684.44,34,Asya,10958410.4
